0    FOOD AND LIVE ANIMALS                                                                                                                                 FOOD AND LIVE ANIMALS                             
00   LIVE ANIMALS OTHER THAN FISH, CRUSTACEANS, MOLLUSCS AND AQUATIC INVERTEBRATES OF DIVISION 03                                                           LIVE ANIMALS                                     
001  LIVE ANIMALS OTHER THAN ANIMALS OF DIVISION 03                                                                                                         LIVE ANIMALS                                     
0011 BOVINE ANIMALS, LIVE                                                                                                                                  BOVINE ANIMALS, LIVE                              
00111PUREBRED BOVINE BREEDING ANIMALS                                                                                                                      PUREBRED BOVINE BREEDING ANIMALS                  
00119BOVINE ANIMALS, OTHER THAN PUREBRED BREEDING ANIMALS, LIVE                                                                                            BOVINE ANIMALS NOT PB BREEDING ANIMALS, LIVE      
0012 SHEEP AND GOATS, LIVE                                                                                                                                 SHEEP AND GOATS, LIVE                             
00121SHEEP, LIVE                                                                                                                                           SHEEP, LIVE                                       
00122GOATS, LIVE                                                                                                                                           GOATS, LIVE                                       
0013 SWINE, LIVE                                                                                                                                           SWINE, LIVE                                       
00131PUREBRED SWINE BREEDING ANIMALS                                                                                                                       PUREBRED SWINE BREEDING ANIMALS                   
00139SWINE OTHER THAN PUREBRED BREEDING ANIMALS, LIVE                                                                                                      SWINE OTHER THAN PB BREEDING ANIMALS, LIVE        
0014 POULTRY, LIVE (I.E. CHICKENS, DUCKS, GEESE, TURKEYS AND GUINEAS)                                                                                      POULTRY, LIVE (CHICKENS, DUCKS, TURKEYS, ETC.)    
00141POULTRY, LIVE, WEIGHING NOT OVER 185 GRAMS (6.53 OZ.)                                                                                                 POULTRY, LIVE, NOT OVER 185 GRAMS (6.53 OZ.)      
00149POULTRY, LIVE, WEIGHING OVER 185 GRAMS (6.53 OZ.)                                                                                                     POULTRY, LIVE, OVER 185 GRAMS (6.53 OZ.)          
0015 HORSES, ASSES, MULES AND HINNIES, LIVE                                                                                                                HORSES, ASSES, MULES, AND HINNIES, LIVE           
00150HORSES, ASSES, MULES AND HINNIES, LIVE                                                                                                                HORSES, ASSES, MULES AND HINNIES, LIVE            
0019 LIVE ANIMALS, N.E.S.                                                                                                                                  LIVE ANIMALS, N.E.S.                              
00190LIVE ANIMALS, N.E.S.                                                                                                                                  LIVE ANIMALS, N.E.S.                              
01   MEAT AND MEAT PREPARATIONS                                                                                                                             MEAT AND MEAT PREPARATIONS                       
011  MEAT OF BOVINE ANIMALS, FRESH, CHILLED OR FROZEN                                                                                                       MEAT OF BOVINE ANIMALS                           
0111 MEAT OF BOVINE ANIMALS, FRESH OR CHILLED                                                                                                              MEAT OF BOVINE ANIMALS, FRESH OR CHILLED          
01111MEAT OF BOVINE ANIMALS WITH BONE IN, FRESH OR CHILLED                                                                                                 MEAT OF BOVINE ANIMALS WITH BONE IN, FRESH OR CHLD
01112MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED                                                                                                    MEAT OF BOVINE ANIMALS, BONELESS, FRESH OR CHILLED
0112 MEAT OF BOVINE ANIMALS, FROZEN                                                                                                                        MEAT OF BOVINE ANIMALS, FROZEN                    
01121MEAT OF BOVINE ANIMALS WITH BONE IN, FROZEN                                                                                                           MEAT OF BOVINE ANIMALS WITH BONE IN, FROZEN       
01122MEAT OF BOVINE ANIMALS, BONELESS, FROZEN                                                                                                              MEAT OF BOVINE ANIMALS, BONELESS, FROZEN          
